K,per_task_trainable_params,current_task_module_params,task_embedding_params,routing_related_params,cumulative_task_module_params,cumulative_task_related_params,task_module_storage_MB,embedding_storage_MB,routing_storage_MB,cumulative_task_related_storage_MB,base_model_params,base_model_storage_MB
1,2121728,2097152,24576,0,2097152,2121728,8.0,0.1875,0.0,8.1875,6885498880,13133.046875
2,2109440,2097152,24576,0,4194304,4218880,16.0,0.1875,0.0,16.1875,6885498880,13133.046875
3,2105344,2097152,24576,0,6291456,6316032,24.0,0.1875,0.0,24.1875,6885498880,13133.046875
4,2103296,2097152,24576,0,8388608,8413184,32.0,0.1875,0.0,32.1875,6885498880,13133.046875
5,2102067,2097152,24576,0,10485760,10510336,40.0,0.1875,0.0,40.1875,6885498880,13133.046875
6,2101248,2097152,24576,0,12582912,12607488,48.0,0.1875,0.0,48.1875,6885498880,13133.046875
