K,training_peak_gpu_memory_MB,training_time_sec_per_task,training_time_source,inference_peak_gpu_memory_MB,matching_time_ms_mean,matching_time_ms_std,aggregation_time_ms_mean,aggregation_time_ms_std,plm_time_ms_mean,plm_time_ms_std,total_inference_latency_ms_mean,total_inference_latency_ms_std,matching_latency_ratio_percent,aggregation_latency_ratio_percent,total_overhead_ratio_percent
1,12749.41650390625,6799.0,parsed_from_existing_logs,8501.4228515625,0.33150762716929116,0.06744512409625189,2.273929592768351,0.014127154049890244,58.742891286214196,0.020504229147147026,61.34832850615184,0.08142709432170642,0.5402729969690538,3.7065985822004786,4.246871579169532
2,12771.92431640625,7656.0,parsed_from_existing_logs,8505.4384765625,0.3734658130009969,0.020408594989637138,2.2966062863667807,0.02150386613525709,58.883490626017256,0.006021069700648649,61.553562725385035,0.019505560585623943,0.6067321774299437,3.731066078849164,4.3377982562791075
3,12763.68212890625,7854.0,parsed_from_existing_logs,,0.22296180832199752,0.0009068758903735762,2.3927747394980456,0.16975950329218337,8.524072306384559,,11.139808854204603,0.01663552765253593,2.001486840933029,21.479495481602616,23.48098232253564
4,12780.12744140625,7996.0,parsed_from_existing_logs,8513.4697265625,0.38862272103627526,0.024454618383192375,2.593375573158264,0.2662776922693764,61.516387685139975,3.682935631366733,64.49838597933451,3.849501535987462,0.6037949635021824,4.01960316326267,4.623398126764853
5,12788.57275390625,8030.0,parsed_from_existing_logs,,0.29626288160216063,0.0028001403764796877,2.483130438967449,0.16975950329218337,8.281514749497333,,11.060908070066944,0.02157262551701086,2.678467985860112,22.449607421359037,25.128075407219146
6,12796.58056640625,8324.0,parsed_from_existing_logs,8521.5009765625,0.3502065079410871,0.07688936161688252,2.470147196451823,0.2705925384445066,59.31677243550619,0.5841086252521059,62.137126139899095,0.8936096415063265,0.563044161143842,3.9717311081453794,4.534775269289222
