K,matching_time_mean_ms,matching_time_std_ms,aggregation_time_mean_ms,aggregation_time_std_ms,total_memr_overhead_mean_ms,total_memr_overhead_std_ms,plm_forward_time_mean_ms,plm_forward_time_std_ms,total_inference_time_mean_ms,total_inference_time_std_ms,matching_ratio_mean_percent,aggregation_ratio_mean_percent,agg_match_ratio_mean,task_repr_memory_mb,frozen_module_memory_mb,task_related_memory_mb,peak_gpu_allocated_mb,peak_gpu_reserved_mb,total_overhead_ratio_percent,normalized_matching_time_to_K6,normalized_aggregation_time_to_K6,normalized_total_overhead_to_K6,normalized_task_memory_to_K6
1,0.3315076271692911,0.0674451240962518,2.273929592768351,0.0141271540498902,2.6054372199376425,0.0633031913043557,58.7428912862142,0.020504229147147,61.34832850615184,0.0814270943217064,0.5402729969690538,3.706598582200479,7.083388349862385,0.015625,4.0,4.015625,8501.4228515625,8908.0,4.246871579169532,0.9466061299610641,0.9205644084832987,0.9237980384798832,0.16666666666666666
2,0.3734658130009969,0.0204085949896371,2.2966062863667807,0.021503866135257,2.6700720993677773,0.0138781563490135,58.883490626017256,0.0060210697006486,61.55356272538504,0.0195055605856239,0.6067321774299437,3.731066078849164,6.163095523729414,0.03125,8.0,8.03125,8505.4384765625,8914.0,4.3377982562791075,1.066415970384601,0.929744709005876,0.9467153340408836,0.3333333333333333
4,0.3886227210362752,0.0244546183831923,2.593375573158264,0.2662776922693764,2.9819982941945398,0.286384603816821,61.516387685139975,3.682935631366733,64.49838597933451,3.849501535987462,0.6037949635021824,4.01960316326267,6.667099936804522,0.0625,16.0,16.0625,8513.4697265625,8920.0,4.623398126764853,1.109695885781913,1.049887058100606,1.0573135878488773,0.6666666666666666
6,0.3502065079410871,0.0768893616168825,2.470147196451823,0.2705925384445066,2.82035370439291,0.3141256875824896,59.31677243550619,0.5841086252521059,62.137126139899095,0.8936096415063265,0.563044161143842,3.971731108145379,7.257630995250742,0.09375,24.0,24.09375,8521.5009765625,8930.0,4.534775269289221,1.0,1.0,1.0,1.0
8,0.4288546141982078,0.0567875384876181,2.6008821471532184,0.2762962655618865,3.0297367613514266,0.3153572354606787,62.02305506388347,4.674476892492648,65.05279182523489,4.828651203430738,0.6623469663119664,3.9991982772982695,6.096248195058427,0.125,32.0,32.125,8529.5322265625,8938.0,4.661545243610236,1.2245763698667507,1.0529259757836238,1.0742399992711507,1.3333333333333333
16,0.3524249610304832,0.0276434162271475,2.2733553059895835,0.0052278348242345,2.6257802670200667,0.0296503664599786,58.91101804097494,0.0083020904133876,61.536798307995,0.0291871588047415,0.5726933439983595,3.694300924609288,6.478160038594266,0.25,64.0,64.25,8561.6572265625,8970.0,4.266994268607648,1.0063346997816764,0.9203319175695618,0.9310109802647162,2.6666666666666665
32,0.3832049064834912,0.0096797432618496,2.267918078104655,0.0100007300500669,2.651122984588146,0.0157524606578541,59.00976610819499,0.3360188668434046,61.66088909278313,0.3516773267848489,0.6214419756471189,3.678075868423083,5.920714176791653,0.5,128.0,128.5,8625.9072265625,9034.0,4.299517844070202,1.094225543484061,0.9181307419097717,0.9399966324999681,5.333333333333333
64,0.3755978679656982,0.0073136208091523,2.309995074272156,0.0079121037678426,2.685592942237854,0.0007578758068305,58.82828351338704,0.0103870280556437,61.5138764556249,0.0111410389215011,0.6105914954648636,3.7552411664294927,6.151991927596624,1.0,256.0,257.0,8784.2197265625,9024.0,4.365832661894356,1.0725039639437042,0.9351649478987675,0.9522184887855888,10.666666666666666
