variant,stage_index,stage_label,trained_task_name,mean_norm,std_norm,min_norm,max_norm
wo_atr,1,Task 1,neike,34.61689440409342,1.5207645214388803,32.72025680541992,37.27749252319336
wo_atr,2,Task 2,waike,34.61598269144694,1.5207566604196805,32.72025680541992,37.27749252319336
wo_atr,3,Task 3,erke,34.61484591166178,1.5218663563026484,32.72025680541992,37.27749252319336
wo_atr,4,Task 4,fuchanke,34.61367607116699,1.519820484603638,32.72025680541992,37.27047348022461
wo_atr,5,Task 5,nanke,34.61255963643392,1.5191108495400638,32.72025680541992,37.27047348022461
wo_atr,6,Task 6,zhongliuke,34.611654917399086,1.5202387544575884,32.71482849121094,37.27047348022461
norm_only,1,Task 1,neike,34.56310717264811,1.519075691285932,32.659515380859375,37.21523666381836
norm_only,2,Task 2,waike,34.50822385152181,1.5187529955566579,32.59886169433594,37.1530647277832
norm_only,3,Task 3,erke,34.45342508951823,1.5117221316528189,32.53832244873047,37.09096908569336
norm_only,4,Task 4,fuchanke,34.39818127950033,1.5221900964166342,32.477867126464844,37.06634521484375
norm_only,5,Task 5,nanke,34.343249003092446,1.5257719784920136,32.417518615722656,37.00434112548828
norm_only,6,Task 6,zhongliuke,34.28889274597168,1.5165763588710461,32.399024963378906,36.942420959472656
hard_orth,1,Task 1,neike,34.56310717264811,1.519075691285932,32.659515380859375,37.21523666381836
hard_orth,2,Task 2,waike,34.50405311584473,1.5184659223885801,32.59886169433594,37.1530647277832
hard_orth,3,Task 3,erke,34.44575564066569,1.5168196816855761,32.53832244873047,37.09096908569336
hard_orth,4,Task 4,fuchanke,34.38894399007162,1.517861929769844,32.477867126464844,37.03798294067383
hard_orth,5,Task 5,nanke,34.33313496907552,1.5188777318201725,32.417518615722656,36.982688903808594
hard_orth,6,Task 6,zhongliuke,34.27810923258463,1.518994054248089,32.362632751464844,36.927974700927734
cosine_soft_orth,1,Task 1,neike,34.56310717264811,1.519075691285932,32.659515380859375,37.21523666381836
cosine_soft_orth,2,Task 2,waike,34.51015535990397,1.5184618684724294,32.59886169433594,37.1530647277832
cosine_soft_orth,3,Task 3,erke,34.456912994384766,1.5113659069517116,32.53832244873047,37.09096908569336
cosine_soft_orth,4,Task 4,fuchanke,34.402961095174156,1.5212410705352064,32.477867126464844,37.066139221191406
cosine_soft_orth,5,Task 5,nanke,34.3491268157959,1.524854259037368,32.417518615722656,37.00551986694336
cosine_soft_orth,6,Task 6,zhongliuke,34.295614878336586,1.5158847897148564,32.398651123046875,36.944637298583984
full_atr,1,Task 1,neike,34.56310717264811,1.519075691285932,32.659515380859375,37.21523666381836
full_atr,2,Task 2,waike,34.50405311584473,1.5184659223885801,32.59886169433594,37.1530647277832
full_atr,3,Task 3,erke,34.44575564066569,1.5168196816855761,32.53832244873047,37.09096908569336
full_atr,4,Task 4,fuchanke,34.38894399007162,1.517861929769844,32.477867126464844,37.03798294067383
full_atr,5,Task 5,nanke,34.33313496907552,1.5188777318201725,32.417518615722656,36.982688903808594
full_atr,6,Task 6,zhongliuke,34.27810923258463,1.518994054248089,32.362632751464844,36.927974700927734
lm_off_full_atr,1,Task 1,neike,34.61822700500488,1.520538190570751,32.72025680541992,37.27749252319336
lm_off_full_atr,2,Task 2,waike,34.61822700500488,1.520538190570751,32.72025680541992,37.27749252319336
lm_off_full_atr,3,Task 3,erke,34.61822700500488,1.520538190570751,32.72025680541992,37.27749252319336
lm_off_full_atr,4,Task 4,fuchanke,34.61822700500488,1.520538190570751,32.72025680541992,37.27749252319336
lm_off_full_atr,5,Task 5,nanke,34.61822700500488,1.520538190570751,32.72025680541992,37.27749252319336
lm_off_full_atr,6,Task 6,zhongliuke,34.61822700500488,1.520538190570751,32.72025680541992,37.27749252319336
