source,name,num_stages,mean_final_norm,min_final_norm,max_final_norm,final_norms,norm_collapse_observed
variant,wo_atr,6,34.6116,32.7148,37.2705,34.3553|34.6268|33.1269|37.2705|35.5756|32.7148,no
variant,norm_only,6,34.2889,32.399,36.9424,34.0299|34.3044|32.8072|36.9424|35.2504|32.399,no
variant,hard_orth,6,34.2781,32.3626,36.928,34.0584|34.3001|32.7931|36.928|35.2264|32.3626,no
variant,cosine_soft_orth,6,34.2956,32.3987,36.9446,34.0495|34.3159|32.8134|36.9446|35.2516|32.3987,no
variant,full_atr,6,34.2781,32.3626,36.928,34.0584|34.3001|32.7931|36.928|35.2264|32.3626,no
variant,lm_off_full_atr,6,34.6182,32.7203,37.2775,34.3633|34.6323|33.1338|37.2775|35.5823|32.7203,no
baseline,order1_compose_peft,6,14.3428,13.677,15.3945,13.677|14.5154|13.7883|15.3945|14.7603|13.9214,no
